/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudformation_stack_test.go:740:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudformation_stack_test.go:789:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudfront_origin_access_identity_test.go:32:81: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudfront_origin_access_identity_test.go:61:81: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:672:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:713:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:757:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:847:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:941:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:983:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:1029:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:1073:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:1115:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:1179:43: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:1219:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:1293:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:1353:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:1398:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudtrail_test.go:1508:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudwatch_event_target_test.go:830:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudwatch_log_resource_policy_test.go:81:70: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudwatch_log_resource_policy_test.go:94:70: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudwatch_log_resource_policy_test.go:149:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudwatch_log_resource_policy_test.go:174:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_codedeploy_deployment_group_test.go:292:26: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_codedeploy_deployment_group_test.go:313:26: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_codedeploy_deployment_group_test.go:1629:26: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_codedeploy_deployment_group_test.go:1639:33: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_codedeploy_deployment_group_test.go:1659:33: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_codedeploy_deployment_group_test.go:1669:25: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_codepipeline_test.go:782:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cognito_identity_pool_test.go:419:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
